"DisplayName","Created","Changed","Name","FilePath"
"Default Domain Policy","1/12/2017 12:04:53 PM","1/12/2017 12:11:39 PM","{31B2F340-016D-11D2-945F-00C04FB984F9}","\\sos.labs\sysvol\sos.labs\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}"
"Default Domain Controllers Policy","1/12/2017 12:04:53 PM","1/12/2017 12:04:53 PM","{6AC1786C-016F-11D2-945F-00C04fB984F9}","\\sos.labs\sysvol\sos.labs\Policies\{6AC1786C-016F-11D2-945F-00C04fB984F9}"
