Group,ManagedBy,whenCreated,whenChanged,Description,SID,DistinguishedName,CanonicalName
"Distributed COM Users","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members are allowed to launch, activate and use Distributed COM objects on this machine.","S-1-5-32-562","CN=Distributed COM Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Distributed COM Users"
"IIS_IUSRS","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Built-in group used by Internet Information Services.","S-1-5-32-568","CN=IIS_IUSRS,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/IIS_IUSRS"
"Cryptographic Operators","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members are authorized to perform cryptographic operations.","S-1-5-32-569","CN=Cryptographic Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Cryptographic Operators"
"Event Log Readers","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group can read event logs from local machine","S-1-5-32-573","CN=Event Log Readers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Event Log Readers"
"Certificate Service DCOM Access","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group are allowed to connect to Certification Authorities in the enterprise","S-1-5-32-574","CN=Certificate Service DCOM Access,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Certificate Service DCOM Access"
"RDS Remote Access Servers","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","S-1-5-32-575","CN=RDS Remote Access Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Remote Access Servers"
"RDS Endpoint Servers","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","S-1-5-32-576","CN=RDS Endpoint Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Endpoint Servers"
"RDS Management Servers","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","S-1-5-32-577","CN=RDS Management Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/RDS Management Servers"
"Hyper-V Administrators","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group have complete and unrestricted access to all features of Hyper-V.","S-1-5-32-578","CN=Hyper-V Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Hyper-V Administrators"
"Access Control Assistance Operators","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","S-1-5-32-579","CN=Access Control Assistance Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Access Control Assistance Operators"
