"Name","Created","DistinguishedName","Description"
"Domain Controllers","1/12/2017 1:04:54 AM","OU=Domain Controllers,DC=sos,DC=labs","Default container for domain controllers"
"Lab Users","1/12/2017 1:13:55 AM","OU=Lab Users,DC=sos,DC=labs",""
