"Category","Value"
"Name","sos.labs"
"NetBIOS","sos"
"Functional Level","Windows2016Domain"
"DomainSID","S-1-5-21-2872888145-3513486857-3924934394"
"Domain Controller","DC1.sos.labs"
"Creation Date","16/03/2018 5:20:58 PM"
"RIDs Issued","1600"
"RIDs Remaining","1073740223"
