"Category","Value"
"Date","28/08/2018 10:35:37 PM"
"ADRecon","https://github.com/sense-of-security/ADRecon"
"RSAT Version","v1.0"
"Ran as user","administrator"
"Ran on computer","sos.labs\DC1 - Primary Domain Controller"
"Execution Time (mins)","0.17"
