"organizationalUnit","objectTypeName","ActiveDirectoryRights","IdentityReference","AccessControlType","IsInherited"
"OU=Workstations,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Workstations,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Workstations,DC=sos,DC=labs","ms-TPM-Tpm-Information-For-Computer","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Workstations,DC=sos,DC=labs","Private-Information","ReadProperty, WriteProperty, ExtendedRight","NT AUTHORITY\SELF","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","GenericAll","sos\Enterprise Admins","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","ListChildren","S-1-5-32-554","Allow","True"
"OU=Workstations,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","BUILTIN\Administrators","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"CN=Computers,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"CN=Computers,DC=sos,DC=labs","All","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","sos\Domain Admins","Allow","False"
"CN=Computers,DC=sos,DC=labs","User","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Computers,DC=sos,DC=labs","Group","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Computers,DC=sos,DC=labs","Computer","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Computers,DC=sos,DC=labs","inetOrgPerson","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Computers,DC=sos,DC=labs","Print-Queue","CreateChild, DeleteChild","S-1-5-32-550","Allow","False"
"CN=Computers,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Key Admins","Allow","True"
"CN=Computers,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","True"
"CN=Computers,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","CREATOR OWNER","Allow","True"
"CN=Computers,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","NT AUTHORITY\SELF","Allow","True"
"CN=Computers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"CN=Computers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"CN=Computers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"CN=Computers,DC=sos,DC=labs","ms-TPM-Tpm-Information-For-Computer","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
"CN=Computers,DC=sos,DC=labs","Private-Information","ReadProperty, WriteProperty, ExtendedRight","NT AUTHORITY\SELF","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","GenericAll","sos\Enterprise Admins","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","ListChildren","S-1-5-32-554","Allow","True"
"CN=Computers,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","BUILTIN\Administrators","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericAll","sos\Domain Admins","Allow","False"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Key Admins","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","CREATOR OWNER","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","NT AUTHORITY\SELF","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","ms-TPM-Tpm-Information-For-Computer","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","Private-Information","ReadProperty, WriteProperty, ExtendedRight","NT AUTHORITY\SELF","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","GenericAll","sos\Enterprise Admins","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","ListChildren","S-1-5-32-554","Allow","True"
"CN=ForeignSecurityPrincipals,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","BUILTIN\Administrators","Allow","True"
"CN=Managed Service Accounts,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"CN=Managed Service Accounts,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"CN=Managed Service Accounts,DC=sos,DC=labs","All","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","sos\Domain Admins","Allow","False"
"CN=Managed Service Accounts,DC=sos,DC=labs","User","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Managed Service Accounts,DC=sos,DC=labs","Group","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Managed Service Accounts,DC=sos,DC=labs","ms-DS-Managed-Service-Account","CreateChild, DeleteChild","S-1-5-32-548","Allow","False"
"CN=Managed Service Accounts,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Managed Service Accounts,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Managed Service Accounts,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Managed Service Accounts,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"CN=Managed Service Accounts,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
