"DisplayName","Created","Changed","Name","FilePath"
"Default Domain Policy","1/12/2017 12:04:53 PM","1/12/2017 12:11:39 PM","{31B2F340-016D-11D2-945F-00C04FB984F9}","\\sos.labs\sysvol\sos.labs\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}"
"Default Domain Controllers Policy","1/12/2017 12:04:53 PM","1/12/2017 12:04:53 PM","{6AC1786C-016F-11D2-945F-00C04fB984F9}","\\sos.labs\sysvol\sos.labs\Policies\{6AC1786C-016F-11D2-945F-00C04fB984F9}"
"Install LAPS","9/01/2018 10:13:07 PM","9/01/2018 10:14:59 PM","{5912A1C1-C007-4D0E-B785-4B118E7560CB}","\\sos.labs\SysVol\sos.labs\Policies\{5912A1C1-C007-4D0E-B785-4B118E7560CB}"
"LAPS - Install","9/01/2018 10:18:48 PM","9/01/2018 10:19:31 PM","{E43465E8-716C-47F7-B97C-CEF0ED06DB70}","\\sos.labs\SysVol\sos.labs\Policies\{E43465E8-716C-47F7-B97C-CEF0ED06DB70}"
"LAPS - Config","9/01/2018 10:20:24 PM","9/01/2018 10:32:40 PM","{E5D99C88-6A37-48D2-92F7-FDB0D5B3FED1}","\\sos.labs\SysVol\sos.labs\Policies\{E5D99C88-6A37-48D2-92F7-FDB0D5B3FED1}"
"BitLocker","9/01/2018 10:23:10 PM","9/01/2018 10:25:21 PM","{2DA1DAB4-011C-4106-9E0C-BE98C5347E56}","\\sos.labs\SysVol\sos.labs\Policies\{2DA1DAB4-011C-4106-9E0C-BE98C5347E56}"
