"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"RootDNSServers","K.ROOT-SERVERS.NET","AAAA","2001:07fd:0000:0000:0000:0000:0000:0001","0","0","[static]","0","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"RootDNSServers","L.ROOT-SERVERS.NET","AAAA","2001:0500:009f:0000:0000:0000:0000:0042","0","0","[static]","0","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"RootDNSServers","M.ROOT-SERVERS.NET","AAAA","2001:0dc3:0000:0000:0000:0000:0000:0035","0","0","[static]","0","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","@","NS","dc1.sos.labs.","3600","0","[static]","2","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=@,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_kerberos._tcp.dc","SRV","[0][100][88][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","11","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kerberos._tcp.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_kerberos._tcp.Default-First-Site-Name._sites.dc","SRV","[0][100][88][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","12","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kerberos._tcp.Default-First-Site-Name._sites.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.8714317c-6c8a-4fd8-9938-11aa6f9fc97f.domains","SRV","[0][100][389][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","4","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.8714317c-6c8a-4fd8-9938-11aa6f9fc97f.domains,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.dc","SRV","[0][100][389][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","6","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.Default-First-Site-Name._sites.dc","SRV","[0][100][389][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","7","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.Default-First-Site-Name._sites.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.Default-First-Site-Name._sites.gc","SRV","[0][100][3268][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","9","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.Default-First-Site-Name._sites.gc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.gc","SRV","[0][100][3268][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","8","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.gc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.pdc","SRV","[0][100][389][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","3","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.pdc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","0e629b7c-9f7f-468d-85ed-f6496b2a6b34","CNAME","DC1.sos.labs.","600","3654601","1/12/2017 1:00:00 AM","5","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=0e629b7c-9f7f-468d-85ed-f6496b2a6b34,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","gc","A","192.168.9.1","600","3654601","1/12/2017 1:00:00 AM","10","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=gc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"..TrustAnchors","@","SOA","[1][dc1.sos.labs.][hostmaster.sos.labs.][900][600][86400][3600]","3600","0","[static]","1","18/12/2017 4:01:21 PM","18/12/2017 4:01:21 PM","True","DC=@,DC=..TrustAnchors,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
